عربي,English
"ووجهت الحركة الوطنية في مصر انتقادات للوزارة المختلطة، الأمر الذي شجع إسماعيل على استبعاد وزيري الخارجية من الوزارة، وأصدر مرسومًا في إبريل 1879م بتسوية الديون وفق ما قررته اللائحة الوطنية، مما أدى إلى لتدخل الحكومتين البريطانية والفرنسية، والضغط على السلطان العثماني الذي أصدر مرسومًا بعزل الخديوي إسماعيل. اعتلى ابنه توفيق العرش في يونيو 1879م","The National Movement in Egypt directed criticism at the mixed ministry, which encouraged Ismail to exclude the two foreign ministers from the ministry, and issue a decree in April 1879 AD to settle the debts in accordance with what was decided by the National Regulations, which led to the intervention of the British and French governments, and pressure on the Ottoman Sultan, who issued a decree deposing Khedive Ismail. The accession of his son Tawfiq in June 1879 AD"
"وامتدت الثورة من القاهرة إلى كافة المدن والمناطق، وشاركت فيها كافة فئات وعناصر الشعب المصري، مما يؤكد الوحدة الوطنية.","The revolution extended from Cairo to all cities and regions, and all groups and elements of the Egyptian people participated in it, which confirms national unity. "
"انزعجت الحكومة البريطانية من الوضع الناتج عن سياستها، فقامت بتعيين الجنرال اللنبي مندوباً سامياً لدى مصر، وقررت إطلاق سراح سعد زغلول ورفاقه في إبريل 1919م والسماح لهم بالذهاب إلى باريس لعرض قضية استقلال مصر.","The British government was disturbed by the situation resulting from its policy, so itappointed General Allenby as High Commissioner to Egypt, and decided to release Saad Zaghloul and his companions in April 1919 AD and allow them to go to Paris to present the issue of Egyptian independence to the peace conference."
"إلا أنهم وجدوا أبواب مؤتمر السلام مغلقة في وجوههم، إذ اعترفت الدول المشاركة في المؤتمر بالحماية البريطانية على مصر، كما أعلن ويلسون، الأمر الذي خيب آمالهم كثيرا.","However, they found the doors of the peace conference closed in their faces, as the countries at the conference recognized British protection over Egypt, as Wilson announced, which greatly disappointed them."
لجنة ميلنر (ديسمبر 1919),Milner Commission (December 1919)
"أرسلت الحكومة البريطانية لجنة برئاسة اللورد ميلنر، وزير المستعمرات البريطانية، إلى مصر لإقناع الشعب المصري بقبول الحماية البريطانية.","The British government sent a committee headed by Lord Milner, the British Colonial Secretary, to Egypt to persuade the Egyptian people to accept British protection"
إلا أن الشعب المصري رفض التفاوض مع لجنة ميلنر وقاطعها لأن المفاوضات معها تعني تسليم الوكالة للوفد المصري.,"However, the Egyptian people refused to negotiate with the Milner Committee and boycotted it because the negotiations With it, it means surrendering the agency to the Egyptian delegation."
"وأبدى ميلنر استعداده للتفاوض مع الوفد المصري، وانتهت المفاوضات بمشروع معاهدة.","Milner expressed his willingness to negotiate with the Egyptian delegation, and the negotiations ended with a draft treaty"
"إلا أن الشعب المصري بكافة طوائفه رفض مشروع المعاهدة، لأنه كان سيؤدي إلى استقلال مصر الاسمي.","However, the Egyptian people of all sects rejected the draft treaty, because it would have led to Egypt’s nominal independence."
مفاوضات عدلي – كرزون (مارس 1921م),Adly Negotiations - Curzon (March 1921 AD)
تولى عدلي يكن باشا رئاسة الوزارة في مارس 1921م.,Adli Yakan Pasha assumed the presidency of the ministry in March 1921 AD. 
وأعرب عن أمله في أن ينجح في الاتفاق مع الإنجليز على وضع دستور يحقق تطلعات المصريين ومطالبهم.,He hoped to succeed in agreeing with the British to draw up a constitution that would fulfill the aspirations and demands of the Egyptians.
"إلا أن المفاوضات بين عدلي يكن باشا وكرزون وزير خارجية بريطانيا باءت بالفشل لأنها لم تسفر عن أية نتائج، فاستقال عدلي يكن باشا ورفض.","However, the negotiations between Adli Yakan Pasha and Curzon, the British Foreign Minister, failed because they did not lead to any results, and Adli Yakan Pasha resigned and refused."
"السياسيون يشكلون حكومة تم القبض على سعد زغلول ونفيه للمرة الثانية إلى جزيرة سيشل، فتجددت الثورة من جديد وقام بمقاطعة الشعب واستولى على البضائع الإنجليزية، مما اضطر الحكومة البريطانية إلى إطلاق سراحه.","Politicians form a government Saad Zaghloul was arrested and exiled for the second time to the island of Seychelles, so the revolution was renewed again and he boycotted The people seized the English goods, forcing the British government to release him."
"ومنذ عام 1914م وحتى ثورة يوليو 1952، مرت مصر بمراحل الصراع بين الحركة الوطنية وسلطات الاحتلال البريطاني.","From 1914 AD until the revolution of July 1952, Egypt went through stages of conflict Between the National Movement and the British occupation authorities."
"وبعد انتهاء الحرب العالمية الأولى (نوفمبر 1918م)، كان الوفد المصري يتكون من أعضاء المجلس التشريعي برئاسة سعد زغلول وآخرين.","After the end of World War I (November 1918 AD), the Egyptian delegation consisted of members of the Legislative Assembly headed by Saad Zaghloul and others."
وذهبوا للقاء المندوب السامي البريطاني في مصر “السير وينجيت” للمطالبة بإلغاء الحماية البريطانية وإنهاء الأحكام العرفية وإلغاء الرقابة على الصحف والمطبوعات والمطالبة بالاستقلال مع السماح لهم بالسفر إلى باريس لتقديم المطالب الوطنية إلى الشعب مؤتمر السلام هناك,"They went to meet the British High Commissioner in Egypt, “Sir Wingate,” to demand By abolishing British protection, ending martial law, abolishing censorship of newspapers and publications, and demanding independence while allowing them to travel to Paris to present national demands to the peace conference there."
اشتباكات بين أعضاء الوفد وسلطات الاحتلال,The clash between members of the delegation and the occupation authorities
"اعترض المندوب السامي البريطاني على المكانة الممنوحة لهؤلاء الأشخاص، وهم حق التحدث نيابة عن الأمة، ومن هنا بدأت فكرة جمع وكالات الأمة للوفد المصري الذي يسعى إلى الاستقلال الكامل لمصر، والوفد المصري","The British High Commissioner objected to the status given to these people, the right to speak on behalf of the nation, and from here began the idea of gathering agencies from the nation for the Egyptian delegation to seek complete independence for Egypt, and the Egyptian delegation"
بقيادة سعد زغلول يمثل الأمة,"Led by Saad Zaghloul, it represents the nation"
"ورفضت سلطات الاحتلال البريطاني مطالب الوفد المصري، واعتقلت سعد زغلول وزملائه في مارس 1919م ونفيتهم إلى جزيرة مالطة.","The British occupation authorities rejected the demands of the Egyptian delegation, and arrested Saad Zaghloul and his colleagues in March 1919 AD and exiled to the island of Malta"
عوامل اندلاع ثورة 1919:,Factors for the outbreak of the 1919 revolution
"اجتمعت عوامل كثيرة ساهمت في اندلاع ثورة 1919م، ولعل أهمها ما يلي:","Many factors came together that contributed to the outbreak of a revolution 1919 AD, perhaps the most important of which are the following:"
زيادة نمو الوعي الوطني لدى المصريين من أجل الاستقلال.,Increased growth in national awareness among Egyptians For independence.
الإجراءات العنيفة التي اتخذتها سلطات الاحتلال خلال الحرب العالمية الأولى (1914م – 1918م).,Violent measures taken by the occupation authorities during World War I (1914 AD - 1918 AD).
تدعي إنجلترا وحلفاؤها أنهم يقاتلون من أجل حرية واستقلال الشعوب.,England and its allies claim that they are fighting for Freedom and independence of peoples.
" إعلان المبادئ للرئيس الأمريكي لسن الرابعة عشرة, بما في ذلك حق الشعوب في تقرير مصيرها.","The American President’s Declaration of Principles for the Age of Fourteen, including the right of peoples to self-determination."
